"filename","IRT","Average","Greedy","GreedyMean","ICWA","Max","Thres","Cor90","Cor80","Cor70"
"auto6_1_C2_P05_V02_CA0",0.42536400084406,0.417851867482591,0.433466976155307,0.417894070479004,0.415193078708588,0.417514243511289,0.40360835619329,8,18,32
"auto6_1_C2_P05_V02_CA1",0.427220932686221,0.450179362734754,0.426967714707744,0.43135682633467,0.479594851234438,0.491285081240768,0.445832454104241,8,18,26
"auto6_1_C2_P05_V03_CA0",0.511964549483013,0.494830132939439,0.495420974889217,0.501033973412112,0.471871702890905,0.47655623549272,0.493922768516565,8,18,32
"auto6_1_C2_P05_V03_CA1",0.508925933741296,0.497362312724203,0.496687064781599,0.50360835619329,0.488584089470352,0.544081029753112,0.490673137792783,8,18,26
"auto6_1_C2_P05_V04_CA0",0.540282760075965,0.543532390799747,0.529605401983541,0.541253428993459,0.539227685165647,0.538130407258915,0.544629668706478,8,18,32
"auto6_1_C2_P05_V04_CA1",0.544629668706478,0.539987339101076,0.551930787085883,0.541591052964761,0.546444397552226,0.584152774847014,0.523296054019835,8,18,28
"auto6_1_C2_P05_V05_CA0",0.60476893859464,0.596497151297742,0.608271787296898,0.600126608989238,0.567883519729901,0.584216079341633,0.587275796581557,8,18,30
"auto6_1_C2_P05_V05_CA1",0.601941337834986,0.587507913061827,0.598058662165014,0.59953576703946,0.579025110782866,0.601308292888795,0.568326651192235,10,18,26
"auto6_1_C2_P05_V06_CA0",0.492677780122389,0.485967503692762,0.514623338257016,0.497446718717029,0.473897446718717,0.496011816838996,0.484173876345221,8,18,32
"auto6_1_C2_P05_V06_CA1",0.482169234015615,0.476598438489133,0.5009917704157,0.48347752690441,0.482675669972568,0.503144123232749,0.466216501371597,8,18,26
"auto6_1_C2_P05_V07_CA0",0.53466976155307,0.529352184005064,0.519983118801435,0.525764929309981,0.513990293310825,0.527347541675459,0.527600759653935,8,18,30
"auto6_1_C2_P05_V07_CA1",0.533994513610466,0.534754167545896,0.538594640219456,0.534711964549483,0.521882253640008,0.54665541253429,0.531230217345432,8,18,26
"auto6_1_C2_P05_V08_CA0",0.530871491875923,0.522473095589787,0.532939438700148,0.523739185482169,0.506815783920658,0.532622916227052,0.513948090314412,8,18,30
"auto6_1_C2_P05_V08_CA1",0.538763452205107,0.54572694661321,0.54281493986073,0.532559611732433,0.568010128719139,0.569297320109728,0.545705845115003,8,18,26
"auto6_1_C2_P05_V09_CA0",0.590208904832243,0.584806921291412,0.584595906309348,0.58586199620173,0.567419286769361,0.564549483013294,0.581768305549694,8,18,30
"auto6_1_C2_P05_V09_CA1",0.565942181894915,0.573665330238447,0.57556446507702,0.569993669550538,0.577379193922768,0.569445030597172,0.576535133994514,8,18,28
